City,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Louisburg,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,7
Lowell,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Lucama,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Lumber Bridge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Lumberton,3,3,5,9,4,10,8,6,10,8,3,8,5,11,7,6,106
Macclesfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Madison,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4
Maiden,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
Manteo,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,6
Marietta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Marion,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,7
Marshville,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Marvin,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4
Matthews,1,3,3,1,0,1,4,4,0,5,5,3,1,0,4,1,36
Maxton,0,2,1,3,0,1,0,1,0,1,1,0,0,1,0,0,11
Maysville,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Mcadenville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mebane,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Midland,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,4
Midway,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
Mills River,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Mineral Springs,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3
Mint Hill,1,1,1,0,0,1,0,1,1,0,2,0,1,0,0,2,11
Mocksville,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Monroe,5,1,3,5,4,3,2,2,4,3,5,2,3,2,6,3,53
Montreat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mooresville,1,5,0,0,0,0,0,5,4,3,1,7,1,5,9,10,51
Morehead City,3,5,9,4,2,7,3,4,3,6,6,5,3,1,6,4,71
Morganton,0,1,2,0,4,0,1,0,3,2,4,2,1,1,1,1,23
Morrisville,2,0,0,0,0,1,4,3,1,4,2,0,1,0,3,5,26
Morven,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Mount Airy,1,2,2,0,1,0,0,1,1,0,0,1,0,1,2,1,13
Mount Holly,2,0,2,0,1,1,0,4,2,1,1,2,1,0,0,1,18
Mount Olive,4,1,2,1,2,0,1,2,1,0,0,3,0,0,1,3,21
Murfreesboro,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
Murphy,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
Nags Head,0,2,3,3,0,4,5,1,1,0,1,0,6,2,3,2,33
Navassa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
New Bern,0,2,1,3,0,1,1,5,4,5,3,5,0,2,1,5,38
Newport,0,1,0,0,0,1,1,0,2,0,0,0,1,0,1,1,8
Newton,1,2,3,0,0,0,0,0,3,0,1,0,1,2,2,0,15
Newton Grove,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North Wilkesboro,1,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,8
Norwood,0,0,1,0,2,0,0,1,0,0,1,1,0,1,0,0,7
Oak Island,0,0,0,0,0,1,2,1,2,6,3,2,3,2,2,3,27
Oak Ridge,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3
Ocean Isle Beach,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,4
Old Fort,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oriental,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Oxford,5,1,1,1,1,0,2,2,2,0,0,2,1,0,1,1,20
Parkton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Patterson Springs,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,6
Peachland,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Pembroke,0,0,0,0,0,1,0,0,2,2,1,2,1,1,0,1,11
Pfafftown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pikeville,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pilot Mountain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pine Knoll Shores,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3
Pinebluff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Pinehurst,0,1,1,2,2,1,0,0,2,1,1,0,2,0,2,1,16
Pinetops,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4
Pineville,1,1,1,0,1,0,0,1,1,0,0,0,2,4,1,1,14
Pink Hill,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
Pittsboro,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,4
Pleasant Garden,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Plymouth,3,1,3,2,2,2,0,0,1,0,1,0,0,1,0,1,17
Polkton,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
Pollocksville,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Princeville,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3
Proctorville,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Raeford,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,4
Raleigh,64,64,48,59,61,49,61,63,65,75,77,93,76,89,85,86,"1,115"
Ramseur,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,6
Randleman,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
Red Springs,0,0,0,0,1,0,1,0,0,1,1,0,0,1,2,0,7
Reidsville,4,2,5,3,2,3,2,1,2,4,2,2,0,1,1,0,34
Rennert,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Rhodhiss,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Richfield,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
River Bend,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
Roanoke Rapids,7,1,6,6,6,4,2,4,3,4,4,1,2,0,2,1,53
Robbinsville,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Rockingham,1,1,1,1,2,1,1,0,2,2,2,0,1,0,0,0,15
Rockwell,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
Rocky Mount,30,34,21,21,24,27,23,24,25,26,24,22,24,14,13,21,373
Rolesville,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
Roper,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4
Rose Hill,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4
Rowland,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5
Roxboro,1,1,0,0,0,1,0,3,0,1,1,2,0,1,0,0,11
Roxobel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Rural Hall,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
Rutherford College,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rutherfordton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Saint Pauls,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Salisbury,3,3,1,0,2,0,2,1,5,5,8,7,8,7,6,5,63
Salter Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sanford,5,5,4,3,5,4,4,3,3,3,3,5,0,1,2,8,58
Saratoga,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Scotland Neck,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5
